preparation,uuid,template_title,template_type,template_number,parent_wtno_i,wtno_i,mutation,mutator,status,mutation_time,created_by,created_date
 , ,CAAV-F586-SECTION5-B1-232.3,J,232.3, ,370'723,19'823,VJC2741,0,14983607,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-233,J,233, ,370'724,19'823,VJC2741,0,14983635,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-234,J,234, ,370'725,19'823,VJC2741,0,14983662,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-235.1,J,235.1, ,370'726,19'823,VJC2741,0,14983691,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-235.2,J,235.2, ,370'727,19'823,VJC2741,0,14983718,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-235.3,J,235.3, ,370'728,19'823,VJC2741,0,14983746,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-236,J,236, ,370'729,19'823,VJC2741,0,14983774,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.1,J,237.1, ,370'730,19'823,VJC2741,0,14983801,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.2,J,237.2, ,370'731,19'823,VJC2741,0,14983828,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.3,J,237.3, ,370'732,19'823,VJC2741,0,14983855,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.4,J,237.4, ,370'733,19'823,VJC2741,0,14983882,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.5,J,237.5, ,370'734,19'823,VJC2741,0,14983909,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.6,J,237.6, ,370'735,19'823,VJC2741,0,14983936,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-237.7,J,237.7, ,370'736,19'823,VJC2741,0,14983963,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-238.1,J,238.1, ,370'737,19'823,VJC2741,0,14983990,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-238.2,J,238.2, ,370'738,19'823,VJC2741,0,14984017,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-238.3,J,238.3, ,370'739,19'823,VJC2741,0,14984045,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-238.4,J,238.4, ,370'740,19'823,VJC2741,0,14984072,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-239.1,J,239.1, ,370'741,19'823,VJC2741,0,14984099,VJC2741,19'823
